<SIL>	1.0     SIL
<SPN>	1.0     SPN
<UNK>	1.0     UNK
FRONDS	1.0	F R AA N D Z
FRONT	1.0	F R AH N T
FRONTAGE	1.0	F R AH N T IH JH
FRONTAL	1.0	F R AH N T AH L
FRONTED	1.0	F R AH N T IH D
FRONTIER	1.0	F R AH N T IH R
FRONTIERS	1.0	F R AH N T IH R Z
FRONTING	1.0	F R AH N T IH NG
FRONTISPIECE	1.0	F R AH N T IY Z P IY S
FRONTS	1.0	F R AH N T S
FROSINONE	1.0	F R AA S AH N OW N
FROST	1.0	F R AO S T
FROSTS	1.0	F R AO S T S
FROSTY	1.0	F R AO S T IY
FROTH	1.0	F R AO TH
FROTHING	1.0	F R AO TH IH NG
FROTHINGHAM'S	1.0	F R AO TH IH NG HH AE M Z
FROWN	1.0	F R AW N
FROWNED	1.0	F R AW N D
FROWNING	1.0	F R AW N IH NG
FROWNS	1.0	F R AW N Z
FROWSED	1.0	F R OW Z D
FROWSY	1.0	F R OW Z IY
FROZ	1.0	F R AA Z
FROZE	1.0	F R OW Z
FROZEN	1.0	F R OW Z AH N
FRUCTIFEROUS	1.0	F R AH K T IH F AH R AH S
FRUCTIFIED	1.0	F R AH K T AH F AY D
FRUGAL	1.0	F R UW G AH L
FRUGALITY	1.0	F R UW G AE L AH T IY
FRUIT	1.0	F R UW T
FRUITFUL	1.0	F R UW T F AH L
FRUITLESS	1.0	F R UW T L AH S
FRUITS	1.0	F R UW T S
FRUSTRATE	1.0	F R AH S T R EY T
FRUSTRATED	1.0	F R AH S T R EY T AH D
FRY	1.0	F R AY
FRYING	1.0	F R AY IH NG
FS	1.0	EH F S
FUCUS	1.0	F Y UW K AH S
FUEGIA	1.0	F Y UW EH JH IY AH
FUEGIAN	1.0	F Y UW AH JH AH N
FUEGIANS	1.0	F Y UW EH JH IY AH N Z
FUEGO	1.0	F Y UW AH G OW
FUEL	1.0	F Y UW AH L
FUEL(2)	1.0	F Y UW L
FUGITIVE	1.0	F Y UW JH AH T IH V
FUGITIVE(2)	1.0	F Y UW JH IH T IH V
FUGITIVES	1.0	F Y UW JH IH T IH V Z
FUGUE	1.0	F Y UW G
FUGUES	1.0	F Y UW G Z
FULFIL	1.0	F UH L F AH L
FULFILL	1.0	F UH L F IH L
FULFILLED	1.0	F UH L F IH L D
FULFILLING	1.0	F UH L F IH L IH NG
FULFILLMENT	1.0	F UH L F IH L M AH N T
FULFILLS	1.0	F UH L F IH L Z
FULFILMENT	1.0	F UH L F IH L M AH N T
FULFILMENTS	1.0	F UH L F IH L M AH N T S
FULFILS	1.0	F UH L F AH L Z
FULGOR	1.0	F UH L G AH R
FULL	1.0	F UH L
FULLER	1.0	F UH L ER
FULLERTON	1.0	F UH L ER T AH N
FULLEST	1.0	F UH L AH S T
FULLNESS	1.0	F UH L N AH S
FULLY	1.0	F UH L IY
FULMINATING	1.0	F UH L M AH N EY T IH NG
FULMINATIONS	1.0	F UH L M AH N EY SH AH N Z
FULNESS	1.0	F UH L N AH S
FUMAROLES	1.0	F Y UW M ER OW L Z
FUMBLING	1.0	F AH M B AH L IH NG
FUMBLING(2)	1.0	F AH M B L IH NG
FUME	1.0	F Y UW M
FUMED	1.0	F Y UW M D
FUMES	1.0	F Y UW M Z
FUN	1.0	F AH N
FUNCTION	1.0	F AH NG K SH AH N
FUNCTIONARIES	1.0	F AH NG K SH AH N EH R IY Z
FUNCTIONARY'S	1.0	F AH NG K SH AH N EH R IY Z
FUNCTIONED	1.0	F AH NG K SH AH N D
FUNCTIONING	1.0	F AH NG K SH AH N IH NG
FUNCTIONS	1.0	F AH NG K SH AH N Z
FUND	1.0	F AH N D
FUNDAMENTAL	1.0	F AH N D AH M EH N T AH L
FUNDAMENTAL(2)	1.0	F AH N D AH M EH N AH L
FUNDAMENTALLY	1.0	F AH N D AH M EH N T AH L IY
FUNDAMENTALLY(2)	1.0	F AH N D AH M EH N AH L IY
FUNDED	1.0	F AH N D AH D
FUNDED(2)	1.0	F AH N D IH D
FUNDEVOGEL	1.0	F AH N D EH V AH JH AH L
FUNDS	1.0	F AH N D Z
FUNERAL	1.0	F Y UW N ER AH L
FUNEREAL	1.0	F Y UW N IY R IY AH L
FUNGI	1.0	F AH N JH AY
FUNK	1.0	F AH NG K
FUNKED	1.0	F AH NG K T
FUNLESS	1.0	F AH N L AH S
FUNNEL	1.0	F AH N AH L
FUNNELS	1.0	F AH N AH L Z
FUNNIEST	1.0	F AH N IY AH S T
FUNNY	1.0	F AH N IY
FUR	1.0	F ER
FURBISH	1.0	F ER B IH SH
FURBISH'D	1.0	F ER B IH SH D
FURIES	1.0	F Y UH R IY Z
FURIOUS	1.0	F Y UH R IY AH S
FURIOUSLY	1.0	F Y UH R IY AH S L IY
FURL	1.0	F ER L
FURLED	1.0	F ER L D
FURMITY	1.0	F ER M AY T IY
FURNACE	1.0	F ER N AH S
FURNACES	1.0	F ER N AH S IH Z
FURNISH	1.0	F ER N IH SH
FURNISHED	1.0	F ER N IH SH T
FURNISHES	1.0	F ER N IH SH IH Z
FURNISHING	1.0	F ER N IH SH IH NG
FURNISHINGS	1.0	F ER N IH SH IH NG Z
FURNITURE	1.0	F ER N IH CH ER
FURRIER	1.0	F ER IY ER
FURRINERS	1.0	F AH R AH N AH R Z
FURROW	1.0	F ER OW
FURROWED	1.0	F ER OW D
FURROWS	1.0	F ER OW Z
FURRY	1.0	F ER IY
FURS	1.0	F ER Z
FURTHER	1.0	F ER DH ER
FURTHERANCES	1.0	F Y UH R TH ER AH N S IH Z
FURTHERMORE	1.0	F ER DH ER M AO R
FURTHEST	1.0	F ER TH AH S T
FURTIVE	1.0	F ER T IH V
FURTIVELY	1.0	F ER T IH V L IY
FURY	1.0	F Y UH R IY
FUSARO	1.0	F UW S AA R OW
FUSE	1.0	F Y UW Z
FUSED	1.0	F Y UW Z D
FUSHIMI	1.0	F AH SH AH M IY
FUSILLADE	1.0	F Y UW S IH L EY D
FUSING	1.0	F Y UW Z IH NG
FUSION	1.0	F Y UW ZH AH N
FUSS	1.0	F AH S
FUSSED	1.0	F AH S T
FUSSING	1.0	F AH S IH NG
FUSSY	1.0	F AH S IY
FUST	1.0	F AH S T
FUSTY	1.0	F AH S T IY
FUTILE	1.0	F Y UW T AH L
FUTILITY	1.0	F Y UW T IH L AH T IY
FUTTEPOOR	1.0	F AH T EH P OW AH R
FUTURE	1.0	F Y UW CH ER
FYE	1.0	F AY
G	1.0	JH IY
GA	1.0	G AA
GA(2)	1.0	JH IY EY
GA(3)	1.0	JH AO R JH AH
GAB	1.0	G AE B
GABATHA	1.0	G AE B AH TH AH
GABBARD	1.0	G AH B AA R D
GABBETT	1.0	G AE B AH T
GABBLING	1.0	G AE B AH L IH NG
GABELLE	1.0	G AE B AH L
GABLE	1.0	G EY B AH L
GABLES	1.0	G EY B AH L Z
GABRIEL	1.0	G EY B R IY AH L
GADDING	1.0	G AE D IH NG
GADGETS	1.0	G AE JH AH T S
GAFF	1.0	G AE F
GAG	1.0	G AE G
GAGGED	1.0	G AE G D
GAIETY	1.0	G EY AH T IY
GAILY	1.0	G EY L IY
GAIN	1.0	G EY N
GAIN'D	1.0	G EY N D
GAINED	1.0	G EY N D
GAINER	1.0	G EY N ER
GAINING	1.0	G EY N IH NG
GAINS	1.0	G EY N Z
GAINSAID	1.0	G EY N S EH D
GAINSAY	1.0	G EY N S EY
GAIT	1.0	G EY T
GAITERS	1.0	G EY T ER Z
GAIZDORRA	1.0	G EY Z D AO R AH
GAL	1.0	G AE L
GALA	1.0	G AE L AH
GALA(2)	1.0	G EY L AH
GALACTICS	1.0	G AH L AE K T IH K S
GALAIL	1.0	G AE L EY L
GALAXY	1.0	G AE L AH K S IY
GALDEAZUN	1.0	G AE L D IY Z AH N
GALE	1.0	G EY L
GALEN	1.0	G EY L AH N
GALES	1.0	G EY L Z
GALIANI	1.0	G EY L IY AH N IY
GALIGAJO	1.0	G AH L IH G AH JH OW
GALILEE	1.0	G AE L AH L IY
GALILEO	1.0	G AE L AH L IY OW
GALILEO(2)	1.0	G AE L AH L EY OW
GALL	1.0	G AO L
GALLANT	1.0	G AE L AH N T
GALLANTLY	1.0	G AE L AH N T L IY
GALLANTRY	1.0	G AE L AH N T R IY
GALLANTS	1.0	G AE L AH N T S
GALLED	1.0	G AO L D
GALLEONS	1.0	G AE L IY AH N Z
GALLERIES	1.0	G AE L ER IY Z
GALLERY	1.0	G AE L ER IY
GALLEY	1.0	G AE L IY
GALLEYS	1.0	G AE L IY Z
GALLI	1.0	G AE L IY
GALLING	1.0	G AO L IH NG
GALLON	1.0	G AE L AH N
GALLONS	1.0	G AE L AH N Z
GALLOONS	1.0	G AE L UW N Z
GALLOP	1.0	G AE L AH P
GALLOPED	1.0	G AE L AH P T
GALLOPING	1.0	G AE L AH P IH NG
GALLOPS	1.0	G AE L AH P S
GALLOWAY'S	1.0	G AE L OW W EY Z
GALLOWS	1.0	G AE L OW Z
GALLOWSES	1.0	G AE L OW Z IH Z
GALOSHE	1.0	G AE L AH SH
GALS	1.0	G AE L Z
GALTON	1.0	G AE L T AH N
GALWAY	1.0	G AA L W EY
GALWAY'S	1.0	G AA L W EY Z
GAMACHO	1.0	G AE M AH CH OW
GAMBIE	1.0	G AE M B AY
GAMBLE	1.0	G AE M B AH L
GAMBLED	1.0	G AE M B AH L D
GAMBLER	1.0	G AE M B L ER
GAMBLERS	1.0	G AE M B L ER Z
GAMBLING	1.0	G AE M B AH L IH NG
GAMBLING(2)	1.0	G AE M B L IH NG
GAMBOLLING	1.0	G AE M B AA L AH NG
GAME	1.0	G EY M
GAMEKEEPERS	1.0	G EY M K IY P ER S
GAMELY	1.0	G EY M L IY
GAMES	1.0	G EY M Z
GAMEY	1.0	G EY M IY
GAMIN	1.0	G AE M AH N
GAMING	1.0	G EY M IH NG
GAND	1.0	G AE N D
GANDER	1.0	G AE N D ER
GANEM	1.0	G AE N IH M
GANEM'S	1.0	G AE N IH M Z
GANG	1.0	G AE NG
GANGES	1.0	G AE N JH IY Z
GANGPLANK	1.0	G AE NG P L AE NG K
GANGS	1.0	G AE NG Z
GANGWAY	1.0	G AE NG W EY
GANGWAYS	1.0	G AE NG W EY Z
GANNON	1.0	G AE N AH N
GANSWORTH	1.0	G AE N S W AH R TH
GAOL	1.0	G EY AH L
GAOLER	1.0	G EY OW L AH R
GAP	1.0	G AE P
GAPE	1.0	G EY P
GAPED	1.0	G EY P T
GAPING	1.0	G EY P IH NG
GAPS	1.0	G AE P S
GARAGE	1.0	G ER AA ZH
GARB	1.0	G AA R B
GARBED	1.0	G AA R B D
GARBOILS	1.0	G AA R B OY L Z
GARD	1.0	G AA R D
GARDEN	1.0	G AA R D AH N
GARDEN'S	1.0	G AA R D AH N Z
GARDENCOURT	1.0	G AA R D AH N K OW R T
GARDENER	1.0	G AA R D AH N ER
GARDENER'S	1.0	G AA R D AH N ER Z
GARDENERS	1.0	G AA R D AH N ER Z
GARDENERS(2)	1.0	G AA R D N ER Z
GARDENING	1.0	G AA R D AH N IH NG
GARDENING(2)	1.0	G AA R D N IH NG
GARDENS	1.0	G AA R D AH N Z
GARDES	1.0	G AA R D Z
GARDINER'S	1.0	G AA R D N ER Z
GARDNER'S	1.0	G AA R D N ER Z
GARFIELD	1.0	G AA R F IY L D
GARFIELD'S	1.0	G AA R F IY L D Z
GARFLELD'S	1.0	G AA R F L AH L D Z
GARGANTUA	1.0	G AA R G AE N T Y UW AH
GARIBALDI	1.0	G AE R AH B AO L D IY
GARIGLIANO	1.0	G AE R AH G L IY AH N OW
GARLANDED	1.0	G AA R L AH N D IH D
GARLANDS	1.0	G AA R L AH N D Z
GARMENT	1.0	G AA R M AH N T
GARMENTED	1.0	G AA R M AH N T IH D
GARMENTS	1.0	G AA R M AH N T S
GARNERED	1.0	G AA R N ER D
GARNETS	1.0	G AA R N AH T S
GARNIER	1.0	G AA R N IY ER
GARNISH	1.0	G AA R N IH SH
GARRET	1.0	G EH R IH T
GARRETS	1.0	G EH R AH T S
GARRISON	1.0	G AE R IH S AH N
GARRISONS	1.0	G AE R AH S AH N Z
GARRULITY	1.0	G AE R UH L AH T IY
GARRULOUS	1.0	G EH R AH L AH S
GARTER	1.0	G AA R T ER
GARTH	1.0	G AA R TH
GARWOOD	1.0	G AA R W UH D
GAS	1.0	G AE S
GASCOIGNE'S	1.0	G AE S OY N AH Z
GASCON	1.0	G AE S K AH N
GASCONADE	1.0	G AE S K OW N EY D
GASCONY	1.0	G AE S K OW N IY
GASCOYNE	1.0	G AE S OY N
GASEOUS	1.0	G AE S IY AH S
GASES	1.0	G AE S AH Z
GASES(2)	1.0	G AE S IH Z
GASHED	1.0	G AE SH T
GASHES	1.0	G AE SH AH Z
GASLIGHT	1.0	G AE S L AY T
GASP	1.0	G AE S P
GASPARONES	1.0	G AE S AH R OW N Z
GASPED	1.0	G AE S P T
GASPERONE	1.0	G AE S AH R OW N
GASPING	1.0	G AE S P IH NG
GASSED	1.0	G AE S T
GASTEROSTEUS	1.0	G AE S T AH R OW S T IY AH S
GATE	1.0	G EY T
GATES	1.0	G EY T S
GATESBY	1.0	G EY T S B AY
GATEWAY	1.0	G EY T W EY
GATHER	1.0	G AE DH ER
GATHERCOLE	1.0	G AE DH ER K OW L
GATHERED	1.0	G AE DH ER D
GATHERING	1.0	G AE DH ER IH NG
GATHERINGS	1.0	G AE DH ER IH NG Z
GATHERS	1.0	G AE DH ER Z
GATTY	1.0	G AE T IY
GAUDS	1.0	G AO D Z
GAUDY	1.0	G AO D IY
GAUGE	1.0	G EY JH
GAUGED	1.0	G EY JH D
GAUGES	1.0	G EY JH AH Z
GAUGES(2)	1.0	G EY JH IH Z
GAUL	1.0	G AO L
GAUNT	1.0	G AO N T
GAUNTLET	1.0	G AO N T L AH T
GAUNTLETS	1.0	G AO N T L AH T S
GAUTIER	1.0	G AW T IY ER
GAUZE	1.0	G AO Z
GAVE	1.0	G EY V
GAVEL	1.0	G AE V AH L
GAVRILOV	1.0	G AE V R AH L AH V
GAVRILOVS	1.0	G AE V R AH L AH V Z
GAVROCHE	1.0	G AE V R AH CH
GAWAIN	1.0	G AA W AH N
GAWD	1.0	G AO D
GAWKING	1.0	G AO K IH NG
GAWKY	1.0	G AO K IY
GAWS	1.0	G AO Z
GAY	1.0	G EY
GAYER	1.0	G EY ER
GAYEST	1.0	G EY AH S T
GAYETY	1.0	G EY AH T IY
GAYLY	1.0	G EY L IY
GAZE	1.0	G EY Z
GAZED	1.0	G EY Z D
GAZER	1.0	G EY Z ER
GAZERS	1.0	G EY Z ER Z
GAZES	1.0	G EY Z AH Z
GAZES(2)	1.0	G EY Z IH Z
GAZETTE	1.0	G AH Z EH T
GAZING	1.0	G EY Z IH NG
GEAR	1.0	G IH R
GEARIN	1.0	G IH R IH N
GEARING	1.0	G IH R IH NG
GEARS	1.0	G IH R Z
GEE	1.0	JH IY
GEESE	1.0	G IY S
GEHENNA	1.0	JH AH HH EH N AH
GELATIN	1.0	JH EH L AH T AH N
GELIMER	1.0	JH AH L AY M AH R
GELLS	1.0	JH EH L Z
GEM	1.0	JH EH M
GEMMEN	1.0	JH EH M AH N
GEMS	1.0	JH EH M Z
GENDARME	1.0	ZH AA N D AA R M
GENDARMES	1.0	JH EH N D AH R M Z
GENERA	1.0	JH EH N ER AH
GENERAL	1.0	JH EH N ER AH L
GENERAL'S	1.0	JH EH N ER AH L Z
GENERAL'S(2)	1.0	JH EH N R AH L Z
GENERAL(2)	1.0	JH EH N R AH L
GENERALITIES	1.0	JH EH N ER AE L AH T IY Z
GENERALITY	1.0	JH EH N ER AE L AH T IY
GENERALIZATION	1.0	JH EH N ER AH L IH Z EY SH AH N
GENERALIZATION(2)	1.0	JH EH N R AH L IH Z EY SH AH N
GENERALLY	1.0	JH EH N ER AH L IY
GENERALLY(2)	1.0	JH EH N R AH L IY
GENERALS	1.0	JH EH N ER AH L Z
GENERALS(2)	1.0	JH EH N R AH L Z
GENERALSHIP	1.0	JH EH N ER AH L SH IH P
GENERATED	1.0	JH EH N ER EY T AH D
GENERATED(2)	1.0	JH EH N ER EY T IH D
GENERATION	1.0	JH EH N ER EY SH AH N
GENERATIONS	1.0	JH EH N ER EY SH AH N Z
GENERIC	1.0	JH AH N EH R IH K
GENEROSITY	1.0	JH EH N ER AA S AH T IY
GENEROUS	1.0	JH EH N ER AH S
GENEROUSLY	1.0	JH EH N ER AH S L IY
GENESIS	1.0	JH EH N AH S AH S
GENEVA	1.0	JH AH N IY V AH
GENEVIEVE	1.0	JH EH N AH V IY V
GENEWINE	1.0	JH IY N W AY N
GENIAL	1.0	JH IY N Y AH L
GENIALITY	1.0	JH IY N IY AE L AH T IY
GENIALLY	1.0	JH IY N Y AH L IY
GENIE	1.0	JH IY N IY
GENITAL	1.0	JH EH N AH T AH L
GENITALS	1.0	JH EH N AH T AH L Z
GENIUS	1.0	JH IY N Y AH S
GENIUSES	1.0	JH IY N Y AH S IH Z
GENOA	1.0	JH EH N OW AH
GENOESE	1.0	JH EH N OW S
GENRE	1.0	ZH AA N R AH
GENSERIC	1.0	JH EH N S AH R AH K
GENT	1.0	JH EH N T
GENTEEL	1.0	JH EH N T IY L
GENTIANS	1.0	JH EH N CH AH N Z
GENTILES	1.0	JH EH N T AY L Z
GENTLE	1.0	JH EH N T AH L
GENTLE(2)	1.0	JH EH N AH L
GENTLEFOLK	1.0	JH EH N T AH L F OW K
GENTLEFOLKS'S	1.0	JH EH N T AH L F OW K S IH Z
GENTLEMAN	1.0	JH EH N T AH L M AH N
GENTLEMAN'S	1.0	JH EH N T AH L M AH N Z
GENTLEMAN'S(2)	1.0	JH EH N AH L M AH N Z
GENTLEMAN(2)	1.0	JH EH N AH L M AH N
GENTLEMANLY	1.0	JH EH N T AH L M AH N L IY
GENTLEMANLY(2)	1.0	JH EH N AH L M AH N L IY
GENTLEMEN	1.0	JH EH N T AH L M IH N
GENTLEMEN'S	1.0	JH EH N T AH L M EH N Z
GENTLEMEN'S(2)	1.0	JH EH N AH L M EH N Z
GENTLEMEN(2)	1.0	JH EH N AH L M IH N
GENTLENESS	1.0	JH EH N T AH L N AH S
GENTLENESS(2)	1.0	JH EH N AH L N AH S
GENTLER	1.0	JH EH N T L ER
GENTLEST	1.0	JH EH N T AH L AH S T
GENTLEWOMAN	1.0	JH EH N T AH L W UH M AH N
GENTLEWOMAN(2)	1.0	JH EH N AH L W UH M AH N
GENTLY	1.0	JH EH N T L IY
GENTMAN	1.0	JH EH N T M AE N
GENTRY	1.0	JH EH N T R IY
GENTRYVILLE	1.0	JH EH N T R AH V AH L
GENUINE	1.0	JH EH N Y UW AH N
GENUINE(2)	1.0	JH EH N Y UW AY N
GENUINELY	1.0	JH EH N Y UW AH N L IY
GENUINELY(2)	1.0	JH EH N Y UW AY N L IY
GENUINENESS	1.0	JH EH N Y UW AH N IH S
GENUS	1.0	JH IY N AH S
GENZABURO	1.0	JH EH N Z AE B Y AH R OW
GENZABURO'S	1.0	JH EH N Z AE B Y AH R AH Z
GEO	1.0	JH IY OW
GEOGRAPHERS	1.0	JH IY AA G R AH F ER Z
GEOGRAPHICAL	1.0	JH IY AH G R AE F IH K AH L
GEOGRAPHY	1.0	JH IY AA G R AH F IY
GEOLOGIC	1.0	JH IY AH L AA JH IH K
GEOLOGICAL	1.0	JH IY AH L AA JH IH K AH L
GEOLOGIST	1.0	JH IY AA L AH JH AH S T
GEOLOGISTS	1.0	JH IY AA L AH JH IH S T S
GEOLOGY	1.0	JH IY AA L AH JH IY
GEOMETERS	1.0	JH IY AA M AH T AH R Z
GEOMETRIC	1.0	JH IY AH M EH T R IH K
GEOMETRICAL	1.0	JH IY AH M EH T R IH K AH L
GEOMETRY	1.0	JH IY AA M AH T R IY
GEORGE	1.0	JH AO R JH
GEORGE'S	1.0	JH AO R JH AH Z
GEORGE'S(2)	1.0	JH AO R JH IH Z
GEORGETOWN	1.0	JH AO R JH T AW N
GEORGIA	1.0	JH AO R JH AH
GEORGIA'S	1.0	JH AO R JH AH Z
GEORGIANA	1.0	JH AO R JH IY AE N AH
GEORGICS	1.0	JH IY AO R JH AH S Z
GEORGIE	1.0	JH AO R JH IY
GEORGINA	1.0	JH AO R JH IY N AH
GEORGY	1.0	JH AO R JH IY
GEORGY'S	1.0	JH AO R JH IY Z
GERAGHTY	1.0	JH EH R AH T IY
GERALD	1.0	JH EH R AH L D
GERANIUM	1.0	JH ER EY N IY AH M
GERANIUMS	1.0	JH ER EY N IY AH M Z
GERARD	1.0	JH ER AA R D
GERE	1.0	G IY R
GERM	1.0	JH ER M
GERMAIN	1.0	JH ER M EY N
GERMAN	1.0	JH ER M AH N
GERMANS	1.0	JH ER M AH N Z
GERMANY	1.0	JH ER M AH N IY
GERMINATED	1.0	JH ER M AH N EY T IH D
GERMINATING	1.0	JH ER M AH N EY T IH NG
GERMS	1.0	JH ER M Z
GERNARDUS	1.0	JH AH R N AA R D AH S
GERRY'S	1.0	JH EH R IY Z
GERTIE	1.0	JH ER T IY
GERTIGNES	1.0	JH AH R T AH N Z
GERTRUDE	1.0	G ER T R UW D
GERVINUS	1.0	JH AH R V AH N AH S
GES	1.0	JH Z
GESS	1.0	JH EH S
GESTATION	1.0	JH EH S T EY SH AH N
GESTICULATED	1.0	JH EH S T IH K Y AH L EY T IH D
GESTICULATING	1.0	JH EH S T IH K Y AH L EY T IH NG
GESTICULATIONS	1.0	JH EH S T IH K Y AH L EY SH AH N Z
GESTURE	1.0	JH EH S CH ER
GESTURES	1.0	JH EH S CH ER Z
GESTURING	1.0	JH EH S CH ER IH NG
GET	1.0	G EH T
GET(2)	1.0	G IH T
GETHER	1.0	JH EH DH AH R
GETS	1.0	G EH T S
GETS(2)	1.0	G IH T S
GETTER	1.0	G EH T ER
GETTIN	1.0	G EH T IH N
GETTING	1.0	G EH T IH NG
GETTING(2)	1.0	G IH T IH NG
GETTYSBURG	1.0	G EH T IY Z B ER G
GEVROL	1.0	JH EH V R AH L
GEW	1.0	JH UW
GEWGAW	1.0	G Y UW G AA
GEWGAWS	1.0	JH UW G AH Z
GEYSER	1.0	G AY Z ER
GHASTLY	1.0	G AE S T L IY
GHOST	1.0	G OW S T
GHOSTLY	1.0	G OW S T L IY
GHOSTS	1.0	G OW S T S
GI	1.0	JH IY
GIANT	1.0	JH AY AH N T
GIANT'S	1.0	JH AY AH N T S
GIANTESS	1.0	JH AY AH N T AH S
GIANTS	1.0	JH AY AH N T S
GIB	1.0	G IH B
GIBBERISH	1.0	G IH B ER IH SH
GIBBET	1.0	JH IH B AH T
GIBBETED	1.0	JH IH B AH T IH D
GIBBETHON	1.0	JH IH B AH TH AH N
GIBBON	1.0	G IH B AH N
GIBBS	1.0	G IH B Z
GIBE	1.0	JH AY B
GIBRALTAR	1.0	JH IH B R AO L T ER
GIDDINESS	1.0	G IH D IY N AH S
GIDDY	1.0	G IH D IY
GIDEON	1.0	G IH D IY AH N
GIFT	1.0	G IH F T
GIFTED	1.0	G IH F T AH D
GIFTED(2)	1.0	G IH F T IH D
GIFTS	1.0	G IH F T S
GIFTS(2)	1.0	G IH F S
GIG	1.0	G IH G
GIGANTIC	1.0	JH AY G AE N T IH K
GIGANTIC(2)	1.0	JH AY G AE N IH K
GIGANTOSTEOLOGIE	1.0	JH AH G AH N T AA S T IY AH L OW JH AY
GIGGLE	1.0	G IH G AH L
GIGGLED	1.0	G IH G AH L D
GIGGLING	1.0	G IH G AH L IH NG
GIGGLING(2)	1.0	G IH G L IH NG
GIGS	1.0	G IH G Z
GILBERT	1.0	G IH L B ER T
GILD	1.0	G IH L D
GILDED	1.0	G IH L D IH D
GILDING	1.0	G IH L D IH NG
GILES	1.0	JH AY L Z
GILL	1.0	G IH L
GILL'S	1.0	G IH L Z
GILLENORMAND	1.0	JH IH L AH N AO R M AH N D
GILLIS	1.0	G IH L IH S
GILLONSVILLE	1.0	JH IH L AA N S V AH L
GILLS	1.0	G IH L Z
GILROY	1.0	G IH L R OY
GILT	1.0	G IH L T
GIMBLET	1.0	JH IH M L AH T
GIMME	1.0	G IH M IY
GIN	1.0	JH IH N
GINGEN	1.0	JH IH N JH AH N
GINGER	1.0	JH IH N JH ER
GINGERBREAD	1.0	JH IH N JH ER B R EH D
GINGERLY	1.0	JH IH N JH ER L IY
GINGHAM	1.0	G IH NG AH M
GINTLEMAN	1.0	JH IH N T L AH M AH N
GIOTTO	1.0	JH AY AA T OW
GIOVANNI	1.0	JH IY OW V AA N IY
GIOVANNI(2)	1.0	JH AH V AA N IY
GIPSIES	1.0	JH IH P S AY Z
GIRAFFE	1.0	JH ER AE F
GIRALAMO	1.0	JH AH R AE L AH M OW
GIRARD	1.0	JH ER AA R D
GIRDED	1.0	G ER D IH D
GIRDERS	1.0	G ER D ER Z
GIRDING	1.0	G ER D IH NG
GIRDLE	1.0	G ER D AH L
GIRDLES	1.0	G ER D AH L Z
GIRL	1.0	G ER L
GIRL'S	1.0	G ER L Z
GIRLHOOD	1.0	G ER L HH UH D
GIRLISH	1.0	G ER L IH SH
GIRLS	1.0	G ER L Z
GIRTH	1.0	G ER TH
GIRUL	1.0	JH IH R AH L
GIST	1.0	JH IH S T
GIT	1.0	JH IH T
GITTHA	1.0	JH IH T TH AH
GITTIN	1.0	JH IH T AH N
GIUDA	1.0	JH AY UW D AH
GIUOCHI	1.0	JH AY UW W AH CH IY
GIVE	1.0	G IH V
GIVEN	1.0	G IH V AH N
GIVEN(2)	1.0	G IH V IH N
GIVER	1.0	G IH V ER
GIVES	1.0	G IH V Z
GIVEST	1.0	G IH V AH S T
GIVETH	1.0	G IH V EH TH
GIVIN	1.0	JH IH V AH N
GIVING	1.0	G IH V IH NG
GIZZARD	1.0	G IH Z ER D
GLACIAL	1.0	G L EY SH AH L
GLACIER	1.0	G L EY SH ER
GLACIERS	1.0	G L EY SH ER Z
GLAD	1.0	G L AE D
GLADDEN'S	1.0	G L AE D AH N Z
GLADDENS	1.0	G L AE D AH N Z
GLADE	1.0	G L EY D
GLADES	1.0	G L EY D Z
GLADIATORIAL	1.0	G L AE D IY EY T ER IY AH L
GLADIATORS	1.0	G L AE D IY EY T ER Z
GLADLY	1.0	G L AE D L IY
GLADNESS	1.0	G L AE D N AH S
GLADSOME	1.0	G L AE D S AH M
GLADSTONE	1.0	G L AE D S T OW N
GLAMOUR	1.0	G L AE M ER
GLANCE	1.0	G L AE N S
GLANCED	1.0	G L AE N S T
GLANCES	1.0	G L AE N S IH Z
GLANCING	1.0	G L AE N S IH NG
GLARE	1.0	G L EH R
GLARED	1.0	G L EH R D
GLARING	1.0	G L EH R IH NG
GLASCOCK	1.0	G L AE S K AH K
GLASGOW	1.0	G L AE S K OW
GLASGOW(2)	1.0	G L AE S G OW
GLASS	1.0	G L AE S
GLASSES	1.0	G L AE S AH Z
GLASSES(2)	1.0	G L AE S IH Z
GLASSFULS	1.0	G L AE S F AH L Z
GLASSWARE	1.0	G L AE S W EH R
GLASSY	1.0	G L AE S IY
GLASTON	1.0	G L AE S T AH N
GLASTONBURY	1.0	G L AE S T AA N B Y AH R IY
GLAZED	1.0	G L EY Z D
GLAZIER	1.0	G L EY Z IY ER
GLEAM	1.0	G L IY M
GLEAMED	1.0	G L IY M D
GLEAMING	1.0	G L IY M IH NG
GLEAMS	1.0	G L IY M Z
GLEAN	1.0	G L IY N
GLEANED	1.0	G L IY N D
GLEE	1.0	G L IY
GLEEFUL	1.0	G L IY F AH L
GLEEFULLY	1.0	G L IY F AH L IY
GLEESON	1.0	G L IY Z AH N
GLEN	1.0	G L EH N
GLENHOLDT	1.0	G L EH N HH OW L D T
GLENORA	1.0	G L AH N AO R AH
GLENS	1.0	G L EH N Z
GLIB	1.0	G L IH B
